ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
376,variable,,WOOSEA Women's High Neck Split Bodycon Mermaid Evening Cocktail Long Dress,1,0,visible,<a href="https://amzn.to/3U57wdq" target="_blank" rel="noopener">\n<img src="https://ensky.tech/wp-content/uploads/2021/09/ensky-tech-amazon-buy-now-button-04.png" alt="buy on amazon license from ensky.tech" /> </a>,,,,taxable,,,100,5,,,,,,,1,,,58.99,"Dresses > Bodycon Dresses, Dresses, Women",,,https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304022355020.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304022355019.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304022355017.jpg ,,,,,,,,,4,color,"Aqua, Blue, Green, Red",1,1,size,"L, M, S, XL",1,1
377,variable,,PRETTYGARDEN Women's Summer One Shoulder Long Formal Dresses Sleeveless Ruched Bodycon Wedding Guest Slit Maxi Dress,1,0,visible,<a href="https://amzn.to/3K6JVVq" target="_blank" rel="noopener">\n<img src="https://ensky.tech/wp-content/uploads/2021/09/ensky-tech-amazon-buy-now-button-05.png" alt="buy on amazon license from ensky.tech" /> </a>,,,,taxable,,,100,5,,,,,,,1,,,56.99,"Dresses > Bodycon Dresses, Dresses, Women",,,https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030000893.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030000894.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030000896.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030000897.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030000898.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030000899.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030000900.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030000901.jpg,,,,,,,,,4,color,"Aqua, Blue, Green, Red",1,1,size,"L, M, S, XL",1,1
378,variable,,WOOSEA Women's Split Bodycon Mermaid Evening Cocktail Long Dress,1,0,visible,<a href="https://amzn.to/3ZB0i20" target="_blank" rel="noopener">\n<img src="https://ensky.tech/wp-content/uploads/2021/09/ensky-tech-amazon-buy-now-button-06.png" alt="buy on amazon license from ensky.tech" /> </a>,,,,taxable,,,100,5,,,,,,,1,,,58.99,"Dresses > Bodycon Dresses, Dresses, Women",,,https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030006236.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030006237.jpg,,,,,,,,,4,color,"Aqua, Blue, Green, Red",1,1,size,"L, M, S, XL",1,1
379,variable,,Popilush Bodycon Dresses for Wommen Built in Shapewear Black Long Sleeve Midi Dress,1,0,visible,<a href="https://amzn.to/3zrA1bY" target="_blank" rel="noopener">\n<img src="https://ensky.tech/wp-content/uploads/2021/09/ensky-tech-amazon-buy-now-button-07.png" alt="buy on amazon license from ensky.tech" /> </a>,,,,taxable,,,100,5,,,,,,,1,,,89.99,"Dresses > Bodycon Dresses, Dresses, Women",,,https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030009735.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030009736.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030009737.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030009738.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030009739.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030009740.jpg,,,,,,,,,4,color,"Aqua, Blue, Green, Red",1,1,size,"L, M, S, XL",1,1
380,variable,,Popilush Shaper Dress Bodycon Maxi/Mini Built in Shapewear Bra 8 in 1 Women Lounge leeveless Backless Dresses,1,0,visible,<a href="https://amzn.to/40QgfTa" target="_blank" rel="noopener">\n<img src="https://ensky.tech/wp-content/uploads/2021/09/ensky-tech-amazon-buy-now-button-08.png" alt="buy on amazon license from ensky.tech" /> </a>,,,,taxable,,,100,5,,,,,,,1,,,79.99,"Dresses > Bodycon Dresses, Dresses, Women",,,https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030013077.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030013078.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030013079.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030013080.jpg,,,,,,,,,4,color,"Aqua, Blue, Green, Red",1,1,size,"L, M, S, XL",1,1
381,variable,,PRETTYGARDEN Women's Spring Long Sleeve Maxi Bodycon Dresses V Neck Twist Front Ruched Cocktail Evening Dress with Slit,1,0,visible,<a href="https://amzn.to/3Ksgrmj" target="_blank" rel="noopener">\n<img src="https://ensky.tech/wp-content/uploads/2021/09/ensky-tech-amazon-buy-now-button-09.png" alt="buy on amazon license from ensky.tech" /> </a>,,,,taxable,,,100,5,,,,,,,1,,,50.99,"Dresses > Bodycon Dresses, Dresses, Women",,,https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030016812.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030016813.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030016815.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030016816.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030016817.jpg,,,,,,,,,4,color,"Aqua, Blue, Green, Red",1,1,size,"L, M, S, XL",1,1
382,variable,,Verdusa Women's Plus Size V Neck Lantern Sleeve Midi Belted Bodycon Dress,1,0,visible,<a href="https://amzn.to/3Kp6VAk" target="_blank" rel="noopener">\n<img src="https://ensky.tech/wp-content/uploads/2021/09/ensky-tech-amazon-buy-now-button-10.png" alt="buy on amazon license from ensky.tech" /> </a>,,,,taxable,,,100,5,,,,,,,1,,,50.99,"Dresses > Bodycon Dresses, Dresses, Women",,,https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030019690.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030019691.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030019692.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030019693.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030019694.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030019696.jpg,,,,,,,,,4,color,"Aqua, Blue, Green, Red",1,1,size,"L, M, S, XL",1,1
383,variable,,BerryGo Women's Sexy V Neck Bodycon Sequin Gown Evening Dress with Slit,1,0,visible,<a href="https://amzn.to/3M93n6m" target="_blank" rel="noopener">\n<img src="https://ensky.tech/wp-content/uploads/2021/09/ensky-tech-amazon-buy-now-button-11.png" alt="buy on amazon license from ensky.tech" /> </a>,,,,taxable,,,100,5,,,,,,,1,,,56.99,"Dresses > Bodycon Dresses, Dresses, Women",,,https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030022485.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030022486.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030022487.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030022488.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030022489.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030022490.jpg,,,,,,,,,4,color,"Aqua, Blue, Green, Red",1,1,size,"L, M, S, XL",1,1
384,variable,,BUPT Womens V Neck Dress Sleeveless Elegant Wedding Guest Bodycon Mermaid Evening Formal Cocktail Long Maxi Dresses,1,0,visible,<a href="https://amzn.to/3U6zLsj" target="_blank" rel="noopener">\n<img src="https://ensky.tech/wp-content/uploads/2021/09/ensky-tech-amazon-buy-now-button-12.png" alt="buy on amazon license from ensky.tech" /> </a>,,,,taxable,,,100,5,,,,,,,1,,,55.99,"Dresses > Bodycon Dresses, Dresses, Women",,,https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030024267.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030024268.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030024269.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030024270.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030024271.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030024272.jpg,,,,,,,,,4,color,"Aqua, Blue, Green, Red",1,1,size,"L, M, S, XL",1,1
385,variable,,GRACE KARIN Women 3/4 Ruffle Sleeve Slim Fit Business Pencil Dress,1,0,visible,<a href="https://amzn.to/3MsyWsj" target="_blank" rel="noopener">\n<img src="https://ensky.tech/wp-content/uploads/2021/09/ensky-tech-amazon-buy-now-button-13.png" alt="buy on amazon license from ensky.tech" /> </a>,,,,taxable,,,100,5,,,,,,,1,,,55.99,"Dresses > Bodycon Dresses, Dresses, Women",,,https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030027544.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030027545.jpg£¬https://cdn.jsdelivr.net/gh/virgenb/imagebed/202304030027546.jpg,,,,,,,,,4,color,"Aqua, Blue, Green, Red",1,1,size,"L, M, S, XL",1,1
